Date,StepLength
02/02/2021,64.0909090909091
02/03/2021,60.333333333333336
02/04/2021,61.875
02/05/2021,65.375
02/06/2021,65.4
02/07/2021,57.0
02/08/2021,58.833333333333336
02/09/2021,61.4
02/10/2021,64.6
02/11/2021,72.0
02/12/2021,72.2
02/13/2021,71.65
02/14/2021,65.14285714285714
02/15/2021,67.06666666666666
02/16/2021,62.23529411764706
02/17/2021,61.916666666666664
02/18/2021,70.91304347826087
02/19/2021,67.0
02/20/2021,60.857142857142854
02/21/2021,73.57142857142857
02/22/2021,66.6
02/23/2021,71.2
02/24/2021,63.416666666666664
02/25/2021,65.3
02/26/2021,61.21739130434783
02/27/2021,67.22666666666667
02/28/2021,71.93333333333334
03/01/2021,73.23076923076923
03/02/2021,69.0
03/03/2021,69.82758620689656
03/04/2021,67.0
03/05/2021,64.60891089108911
03/06/2021,69.11538461538461
03/07/2021,68.58333333333333
03/08/2021,67.8
03/09/2021,68.83333333333333
03/10/2021,62.888888888888886
03/11/2021,65.33333333333333
03/12/2021,64.0
03/13/2021,65.72972972972973
03/14/2021,66.43478260869566
03/15/2021,66.9090909090909
03/16/2021,69.55
03/17/2021,74.06666666666666
03/18/2021,68.0
03/19/2021,63.0
03/20/2021,70.63157894736842
03/21/2021,65.75
03/22/2021,64.9
03/23/2021,58.8
03/24/2021,68.66666666666667
03/25/2021,60.166666666666664
03/26/2021,70.0
03/27/2021,56.111111111111114
03/28/2021,66.35714285714286
03/29/2021,65.0909090909091
03/30/2021,65.14814814814815
03/31/2021,69.0
04/01/2021,75.0
04/02/2021,65.61111111111111
04/03/2021,58.27272727272727
