Date,StepCount,Distance,Speed,Steplength,s_month,s_day,weekday,is_weekend,lag_1_steps,lag_2_steps,lag_3_steps
2021-02-08,586.0,0.41801000000000005,3.81,58.833333333333336,2,8,0,False,303.0,847.0,2656.0
2021-02-09,1255.0,0.8573774000000001,4.118399999999999,61.4,2,9,1,False,586.0,303.0,847.0
2021-02-10,6677.0,4.694380000000001,4.509,64.6,2,10,2,False,1255.0,586.0,303.0
2021-02-11,5660.0,3.8191960000000003,4.755,72.0,2,11,3,False,6677.0,1255.0,586.0
2021-02-12,2056.0,1.1639459999999997,4.298399999999999,72.2,2,12,4,False,5660.0,6677.0,1255.0
2021-02-13,8300.0,5.524088700000001,4.5288,71.65,2,13,5,True,2056.0,5660.0,6677.0
2021-02-14,1382.0,0.9580289999999999,4.273714285714286,65.14285714285714,2,14,6,True,8300.0,2056.0,5660.0
2021-02-15,7571.0,5.290623,4.2959999999999985,67.06666666666666,2,15,0,False,1382.0,8300.0,2056.0
2021-02-16,7080.0,5.008698,3.9303529411764697,62.23529411764706,2,16,1,False,7571.0,1382.0,8300.0
2021-02-17,3823.0,2.562093,4.17,61.916666666666664,2,17,2,False,7080.0,7571.0,1382.0
2021-02-18,8030.0,5.305775000000001,4.313739130434784,70.91304347826087,2,18,3,False,3823.0,7080.0,7571.0
2021-02-19,9795.0,6.594513,4.2602142857142855,67.0,2,19,4,False,8030.0,3823.0,7080.0
2021-02-20,1206.0,0.811456,3.8622857142857145,60.857142857142854,2,20,5,True,9795.0,8030.0,3823.0
2021-02-21,4357.0,3.017499,4.829142857142857,73.57142857142857,2,21,6,True,1206.0,9795.0,8030.0
2021-02-22,1189.0,0.8491259999999999,4.3452,66.6,2,22,0,False,4357.0,1206.0,9795.0
2021-02-23,2696.0,1.8418420000000002,4.384799999999999,71.2,2,23,1,False,1189.0,4357.0,1206.0
2021-02-24,7325.0,4.863821000000001,4.377,63.416666666666664,2,24,2,False,2696.0,1189.0,4357.0
2021-02-25,11887.0,7.3347433,4.209300000000001,65.3,2,25,3,False,7325.0,2696.0,1189.0
2021-02-26,9770.0,6.661570700000001,3.7659130434782613,61.21739130434783,2,26,4,False,11887.0,7325.0,2696.0
2021-02-27,21263.0,12.463520533999995,4.359839999999998,67.22666666666667,2,27,5,True,9770.0,11887.0,7325.0
2021-02-28,3010.0,3.2870670000000004,4.7184,71.93333333333334,2,28,6,True,21263.0,9770.0,11887.0
2021-03-01,3846.0,1.9338093,4.810153846153846,73.23076923076923,3,1,0,False,3010.0,21263.0,9770.0
2021-03-02,494.0,0.01152,5.256,69.0,3,2,1,False,3846.0,3010.0,21263.0
2021-03-03,11537.0,8.182268,4.684965517241379,69.82758620689656,3,3,2,False,494.0,3846.0,3010.0
2021-03-04,5943.0,3.9876012000000003,4.315499999999999,67.0,3,4,3,False,11537.0,494.0,3846.0
2021-03-05,6559.0,5.384541229000001,4.127346534653463,64.60891089108911,3,5,4,False,5943.0,11537.0,494.0
2021-03-06,4865.0,3.3959093,4.351846153846153,69.11538461538461,3,6,5,True,6559.0,5943.0,11537.0
2021-03-07,3548.0,2.08699,4.614,68.58333333333333,3,7,6,True,4865.0,6559.0,5943.0
2021-03-08,552.0,0.75285,4.7304,67.8,3,8,0,False,3548.0,4865.0,6559.0
2021-03-09,3203.0,0.8569079999999999,4.6499999999999995,68.83333333333333,3,9,1,False,552.0,3548.0,4865.0
2021-03-10,3227.0,2.286709,4.166,62.888888888888886,3,10,2,False,3203.0,552.0,3548.0
2021-03-11,11284.0,8.3096896,4.404000000000001,65.33333333333333,3,11,3,False,3227.0,3203.0,552.0
2021-03-12,6743.0,3.4372076,4.6259999999999994,64.0,3,12,4,False,11284.0,3227.0,3203.0
2021-03-13,10421.0,5.619816759999999,4.307351351351352,65.72972972972973,3,13,5,True,6743.0,11284.0,3227.0
2021-03-14,7003.0,5.628314999999998,4.445217391304347,66.43478260869566,3,14,6,True,10421.0,6743.0,11284.0
2021-03-15,3030.0,3.1787120000000004,4.290545454545454,66.9090909090909,3,15,0,False,7003.0,10421.0,6743.0
2021-03-16,4994.0,4.20671,4.6062,69.55,3,16,1,False,3030.0,7003.0,10421.0
2021-03-17,2835.0,1.8681210000000001,4.845599999999999,74.06666666666666,3,17,2,False,4994.0,3030.0,7003.0
2021-03-18,3006.0,1.3798597,4.430571428571428,68.0,3,18,3,False,2835.0,4994.0,3030.0
2021-03-19,3134.0,1.997357,3.8683636363636364,63.0,3,19,4,False,3006.0,2835.0,4994.0
2021-03-20,6338.0,2.8458509999999992,4.628842105263158,70.63157894736842,3,20,5,True,3134.0,3006.0,2835.0
2021-03-21,2485.0,2.994751,4.3965000000000005,65.75,3,21,6,True,6338.0,3134.0,3006.0
2021-03-22,1787.0,1.9850552000000001,4.240800000000001,64.9,3,22,0,False,2485.0,6338.0,3134.0
2021-03-23,2076.0,1.031265,4.086,58.8,3,23,1,False,1787.0,2485.0,6338.0
2021-03-24,2358.0,2.0847236000000002,4.545000000000001,68.66666666666667,3,24,2,False,2076.0,1787.0,2485.0
2021-03-25,7799.0,3.6223360000000002,4.072500000000001,60.166666666666664,3,25,3,False,2358.0,2076.0,1787.0
2021-03-26,822.0,2.4726730000000003,4.392,70.0,3,26,4,False,7799.0,2358.0,2076.0
2021-03-27,1207.0,0.710293,3.956,56.111111111111114,3,27,5,True,822.0,7799.0,2358.0
2021-03-28,2512.0,1.61919,4.253142857142857,66.35714285714286,3,28,6,True,1207.0,822.0,7799.0
2021-03-29,1971.0,0.8967019999999999,4.552363636363636,65.0909090909091,3,29,0,False,2512.0,1207.0,822.0
2021-03-30,5968.0,2.5959626600000005,4.4093333333333335,65.14814814814815,3,30,1,False,1971.0,2512.0,1207.0
2021-03-31,2781.0,3.3383541,4.3632,69.0,3,31,2,False,5968.0,1971.0,2512.0
2021-04-01,107.0,0.5149440000000001,4.812,75.0,4,1,3,False,2781.0,5968.0,1971.0
2021-04-02,3414.0,2.611642,4.468,65.61111111111111,4,2,4,False,107.0,2781.0,5968.0
